STATE,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Nevada,2011,5,4.03184,775,38,19222
New Hampshire,2011,5,0.504732,24,30,4755
New Jersey,2011,5,5.5993,384,25,6858
New Mexico,2011,5,5.56121,437,26,7858
New York,2011,5,4.04412,528,100,13056
North Carolina,2011,5,5.62213,1370,72,24368
North Dakota,2011,5,1.22549,25,12,2040
Ohio,2011,5,3.4932,555,54,15888
Oklahoma,2011,5,12.8354,287,17,2236
Oregon,2011,5,1.6229,55,17,3389
Pennsylvania,2011,5,4.37266,758,65,17335
Rhode Island,2011,5,1.40503,81,21,5765
South Carolina,2011,5,7.12673,726,24,10187
South Dakota,2011,5,2.87303,155,19,5395
Tennessee,2011,5,6.39836,841,52,13144
Texas,2011,5,6.68052,3086,95,46194
Utah,2011,5,2.03178,133,14,6546
Vermont,2011,5,2.47765,97,15,3915
Virginia,2011,5,5.34851,3859,91,72151
Washington,2011,5,2.81109,75,15,2668
West Virginia,2011,5,3.47316,438,40,12611
Wisconsin,2011,5,2.98987,121,47,4047
Wyoming,2011,5,2.92516,145,26,4957
New York City,2011,5,2.47319,2198,38,88873
Alabama,2011,6,11.5078,1586,38,13782
Alaska,2011,6,1.95891,41,8,2093
Arizona,2011,6,2.77627,769,71,27699
Arkansas,2011,6,8.08052,285,16,3527
California,2011,6,4.88711,1987,138,40658
Colorado,2011,6,2.63779,548,12,20775
Connecticut,2011,6,1.76373,96,23,5443
Delaware,2011,6,2.1037,99,14,4706
District of Columbia,2011,6,3.47826,108,4,3105
Florida,2011,6,X,X,X,X
Georgia,2011,6,4.87195,1908,63,39163
Hawaii,2011,6,4.71753,81,17,1717
Idaho,2011,6,4.56026,224,11,4912
Illinois,2011,6,4.23328,1774,77,41906
Indiana,2011,6,6.07211,832,41,13702
Iowa,2011,6,1.72855,81,8,4686
Kansas,2011,6,3.19528,341,42,10672
Kentucky,2011,6,3.03882,465,15,15302
Louisiana,2011,6,7.28468,1596,42,21909
Maine,2011,6,1.57754,100,29,6339
Maryland,2011,6,3.65262,339,16,9281
Massachusetts,2011,6,2.33142,697,52,29896
Michigan,2011,6,2.27731,384,52,16862
Minnesota,2011,6,2.51155,125,15,4977
Mississippi,2011,6,6.14754,1020,46,16592
Missouri,2011,6,4.89771,395,30,8065
Montana,2011,6,0.355114,10,6,2816
Nebraska,2011,6,3.68098,126,15,3423
Nevada,2011,6,3.71371,756,39,20357
New Hampshire,2011,6,0.725821,40,29,5511
New Jersey,2011,6,5.86393,412,25,7026
New Mexico,2011,6,4.90175,454,26,9262
New York,2011,6,3.89805,572,96,14674
North Carolina,2011,6,6.0716,1406,71,23157
North Dakota,2011,6,1.5978,29,10,1815
Ohio,2011,6,2.26706,418,54,18438
Oklahoma,2011,6,7.32127,170,14,2322
Oregon,2011,6,2.25032,89,21,3955
Pennsylvania,2011,6,3.74081,687,60,18365
Rhode Island,2011,6,2.31654,149,20,6432
South Carolina,2011,6,6.04218,616,25,10195
South Dakota,2011,6,3.20291,185,19,5776
Tennessee,2011,6,6.27479,791,55,12606
Texas,2011,6,8.12867,3280,91,40351
Utah,2011,6,2.90828,299,21,10281
Vermont,2011,6,2.73263,116,14,4245
Virginia,2011,6,5.12923,3731,91,72740
Washington,2011,6,2.16644,63,16,2908
West Virginia,2011,6,3.98661,524,39,13144
Wisconsin,2011,6,2.93542,135,45,4599
Wyoming,2011,6,3.37715,167,25,4945
New York City,2011,6,2.5069,2354,39,93901
Alabama,2011,7,11.9696,1450,35,12114
Alaska,2011,7,4.4316,69,7,1557
Arizona,2011,7,2.63356,770,70,29238
Arkansas,2011,7,8.18854,410,17,5007
California,2011,7,5.07162,2036,136,40145
Colorado,2011,7,2.92775,654,12,22338
Connecticut,2011,7,1.98326,109,22,5496
Delaware,2011,7,2.6928,125,14,4642
District of Columbia,2011,7,2.7957,78,3,2790
Florida,2011,7,X,X,X,X
Georgia,2011,7,4.71214,1835,62,38942
Hawaii,2011,7,5.72271,97,16,1695
Idaho,2011,7,6.01038,301,12,5008
Illinois,2011,7,4.04362,1739,76,43006
Indiana,2011,7,5.97522,844,43,14125
Iowa,2011,7,2.19298,105,9,4788
Kansas,2011,7,3.72246,397,42,10665
Kentucky,2011,7,2.14109,329,14,15366
Louisiana,2011,7,7.37081,1656,43,22467
Maine,2011,7,2.27929,150,29,6581
Maryland,2011,7,3.05647,269,15,8801
Massachusetts,2011,7,2.65215,726,52,27374
Michigan,2011,7,2.29611,375,49,16332
Minnesota,2011,7,3.1493,162,15,5144
Mississippi,2011,7,5.96418,1089,44,18259
